,pooled_estimate,hdi_lower,hdi_upper,empirical_rate,n_enterprise_months
FI018,0.234,0.17,0.31,0.20238095238095238,420
FI001,0.194,0.14,0.26,0.13333333333333333,420
FI012,0.176,0.12,0.24,0.1761904761904762,420
FI004,0.159,0.11,0.22,0.15476190476190477,420
FI006,0.144,0.098,0.2,0.14761904761904762,420
FI016,0.134,0.089,0.19,0.12380952380952381,420
FI002,0.129,0.086,0.18,0.11666666666666667,420
FI019,0.125,0.083,0.18,0.1261904761904762,420
FI013,0.119,0.079,0.17,0.11190476190476191,420
FI010,0.115,0.077,0.16,0.14523809523809525,420
FI011,0.111,0.074,0.16,0.14761904761904762,420
FI015,0.11,0.072,0.16,0.09523809523809523,420
FI009,0.099,0.066,0.14,0.12380952380952381,420
FI003,0.088,0.057,0.13,0.10238095238095238,420
FI020,0.076,0.048,0.11,0.07671957671957672,378
FI005,0.075,0.048,0.11,0.08333333333333333,420
FI008,0.053,0.031,0.081,0.047619047619047616,420
FI014,0.05,0.029,0.076,0.04523809523809524,420
FI007,0.0428,0.022,0.068,0.0380952380952381,420
FI017,0.0246,0.012,0.042,0.02142857142857143,420
