,pooled_estimate,hdi_lower,hdi_upper,empirical_rate,n_enterprise_months
handicrafts,0.265,0.2,0.34,0.2253968253968254,630
brick_kiln,0.159,0.11,0.22,0.17346938775510204,294
textile_weaving,0.146,0.11,0.2,0.15934065934065933,546
auto_repair,0.139,0.1,0.19,0.15734989648033126,483
dairy,0.139,0.099,0.19,0.15419501133786848,441
tea_stall_eatery,0.098,0.072,0.13,0.11587301587301588,1260
oil_mill,0.087,0.059,0.12,0.09523809523809523,483
agri_input_retail,0.085,0.062,0.11,0.08352849336455893,1281
rural_retail,0.083,0.057,0.11,0.08403361344537816,714
poultry,0.07,0.049,0.095,0.07830687830687831,945
flour_mill,0.0548,0.036,0.08,0.061224489795918366,588
food_processing,0.0426,0.028,0.062,0.05194805194805195,693
