enterprise_id,scripted_stress,performance_multiplier
GJSU536890,False,0.945
GJJA644024,False,1.315
GJGA561403,False,1.038
GJPE854420,False,0.906
GJAH399074,False,0.433
GJAN069602,False,0.586
GJBH408985,False,0.71
GJKA830496,True,2.081
GJSU384766,True,0.811
GJPE285479,False,0.664
GJAN979486,False,2.073
GJPA005139,False,0.476
GJSA292106,False,0.67
GJPE478886,False,0.62
GJAN780211,False,1.87
GJPE110148,False,2.665
GJKA246183,True,1.363
GJGA045811,False,1.668
GJSU203084,True,0.606
GJPA102370,False,0.841
GJBH356265,True,1.268
GJHA047118,False,1.118
GJJA316350,False,1.386
GJVY794269,False,0.74
GJBO173052,False,1.352
GJNA182252,False,0.977
GJDH076336,False,0.603
GJKA278451,False,0.488
GJSA751221,False,1.326
GJSU358723,False,0.496
GJAH151145,False,1.5
GJDH433818,False,0.352
GJGO975414,False,0.431
GJME780093,True,1.221
GJBH115967,False,0.773
GJAH501655,False,1.211
GJGO308626,False,2.215
GJAH922675,False,2.657
GJGO613080,False,1.336
GJSA909714,False,0.876
GJGO346698,True,1.631
GJPA276629,False,0.85
GJBA715793,False,1.596
GJVY862530,True,0.577
GJHA385369,False,1.353
GJVE171462,False,0.82
GJME339843,False,2.111
GJBH236808,False,2.477
GJPA324946,False,1.923
GJRA165356,True,1.656
GJPO681050,False,1.568
GJAH808449,True,1.31
GJHA318892,False,0.641
GJNA074919,False,1.316
GJBO363274,False,1.536
GJAH186235,True,1.8
GJAN924925,False,0.355
GJMA265936,True,1.028
GJAH772659,False,0.376
GJNA575415,False,1.256
GJPE990361,False,1.223
GJVE423780,False,1.356
GJBO838446,False,2.013
GJSU917412,False,0.897
GJBA364547,False,0.824
GJKA574870,False,1.915
GJJE336290,False,0.718
GJAH091721,False,1.292
GJAN893537,True,1.014
GJGO447984,False,1.447
GJBH358778,False,1.306
GJDH276417,False,1.057
GJCH515738,False,0.76
GJBO462225,True,1.031
GJNA203611,False,0.725
GJSA798282,False,0.692
GJPO477348,False,0.625
GJVA702921,False,2.113
GJSA721699,False,0.806
GJAM480231,False,0.694
GJRA706768,False,0.847
GJGO416895,False,0.916
GJAH127011,True,0.794
GJJE822306,False,1.114
GJVE260101,False,1.429
GJAH710569,False,0.764
GJJA593025,False,1.027
GJJA986629,False,1.603
GJJU827333,True,1.2
GJKA964834,True,0.432
GJUN267235,False,0.595
GJRA582489,False,0.573
GJGA467155,False,0.752
GJPA807817,False,0.484
GJNA909320,False,0.84
GJKA794370,False,1.069
GJBH028762,False,1.825
GJKA462005,True,0.751
GJPE368832,False,0.87
GJUN382261,False,0.826
GJVA363053,False,0.562
GJPO377568,True,1.29
GJVY136553,True,3.2
GJPA662570,True,0.51
GJJA951162,False,1.03
GJBA169070,True,1.237
GJAN886328,True,1.225
GJAN407495,False,1.097
GJPE706451,False,1.858
GJDH034124,False,0.356
GJPA925162,False,0.786
GJDA441171,False,0.35
GJGA407917,False,1.15
GJAN660862,False,0.838
GJMA405137,False,1.164
GJNA670005,True,0.728
GJBH504769,False,1.184
GJBH020839,False,0.506
GJHI217809,False,0.599
GJME848868,False,1.182
GJAN485637,False,1.41
GJGA960032,False,1.179
GJBH923507,False,1.017
GJJU048124,False,1.688
GJJA802797,False,0.663
GJGA401958,True,1.552
GJBH728133,False,0.826
GJAH913696,False,1.478
GJVE841662,False,1.162
GJWA331578,False,0.918
GJPA122953,False,0.711
GJBH539503,False,1.183
GJJE169043,False,1.751
GJBA988202,False,0.765
GJWA787477,False,0.665
GJDH567056,True,0.561
GJAN282676,False,0.644
GJAH202470,False,1.554
GJJU812242,False,0.806
GJPA150356,False,1.084
GJKA584424,True,1.153
GJBO494324,False,1.232
GJBH230715,False,1.059
GJDA120219,False,0.777
GJNA376431,False,1.335
GJJU562783,False,1.108
GJME272036,False,0.385
GJAN288399,False,2.781
GJKA567560,True,1.573
GJKA142300,False,0.35
GJPA888304,True,0.41
GJJE448300,False,1.362
GJVA865089,False,0.86
GJRA555190,False,1.392
GJNA602714,True,1.098
GJAM930521,True,0.903
GJGO625077,False,0.481
GJNA325078,False,1.311
GJBH186667,False,0.992
GJME205932,False,0.778
GJBO605393,False,0.812
GJRA719173,False,1.689
GJPO972794,False,1.895
GJPE714716,False,0.801
GJBH578272,False,1.337
GJNA749676,False,0.449
GJWA345666,False,0.403
GJDA207094,True,1.473
GJVE589139,False,0.859
GJKA013329,False,1.444
GJNA753459,False,2.695
GJSU705498,False,0.371
GJPA088025,False,2.016
GJSA841274,False,1.793
GJDE127020,True,1.026
GJAN520614,False,0.647
GJGA516431,False,1.113
GJGA034298,True,2.031
GJBO101462,False,1.492
GJDE183283,False,2.598
GJAM661853,True,1.05
GJGO402923,False,1.697
GJBO661148,False,1.067
GJBH328661,False,0.585
GJRA042919,False,1.213
GJRA522975,False,1.194
GJBH241576,False,0.809
GJGA313869,False,0.755
GJGA110283,False,2.04
GJSA168883,True,0.615
GJGA400995,True,0.996
GJBH670584,False,0.83
