enterprise_id,month,income,expenses,net_cash_flow,savings_balance,has_loan,emi_due,repayment_status,upi_inflow_txn_count,upi_inflow_txn_volume,data_complete,field_investigator_id,upi_outflow_txn_count,upi_outflow_txn_volume,loan_repayment_collected_upi
GJSU536890,2024-08,16459.65,12629.99,3829.66,23334.92,False,0.0,no_loan,0,0.0,True,FI017,0,0.0,0.0
GJSU536890,2024-09,19390.84,13776.84,5614.0,23993.1,False,0.0,no_loan,2,1966.88,True,FI017,0,0.0,0.0
GJSU536890,2024-10,25367.32,18436.09,6931.23,24801.04,False,0.0,no_loan,5,4233.06,True,FI017,1,1261.9,0.0
GJSU536890,2024-11,31295.69,24666.78,6628.91,25841.82,False,0.0,no_loan,8,8565.91,False,FI017,3,4193.87,0.0
GJSU536890,2024-12,35358.88,24480.68,10878.2,27324.9,False,0.0,no_loan,17,12346.37,True,FI017,6,5457.09,0.0
GJSU536890,2025-01,34712.36,25738.56,8973.8,28137.24,False,0.0,no_loan,15,11826.86,False,FI017,4,5453.84,0.0
GJSU536890,2025-02,29796.13,20928.58,8867.56,29750.04,False,0.0,no_loan,12,10548.29,True,FI017,3,3290.67,0.0
GJSU536890,2025-03,31415.78,22390.67,9025.11,30754.75,False,0.0,no_loan,11,10562.22,True,FI017,4,4815.07,0.0
GJSU536890,2025-04,24186.27,17647.34,6538.92,31329.86,False,0.0,no_loan,9,8123.73,True,FI017,4,2752.04,0.0
GJSU536890,2025-05,17660.72,13737.64,3923.08,31997.48,False,0.0,no_loan,7,7168.84,True,FI017,2,2363.54,0.0
GJSU536890,2025-06,14332.45,10998.09,3334.36,32604.29,False,0.0,no_loan,6,4998.88,True,FI017,1,2449.28,0.0
GJSU536890,2025-07,11332.63,8829.24,2503.39,32952.35,False,0.0,no_loan,5,4436.79,True,FI017,2,2158.8,0.0
GJSU536890,2025-08,17837.71,14058.84,3778.87,33300.61,False,0.0,no_loan,7,5976.04,True,FI017,1,2377.68,0.0
GJSU536890,2025-09,18441.69,13411.74,5029.95,33774.54,False,0.0,no_loan,7,8241.19,True,FI017,3,3426.02,0.0
GJSU536890,2025-10,23938.37,17469.95,6468.43,34357.76,False,0.0,no_loan,11,8193.31,True,FI017,5,2935.04,0.0
GJSU536890,2025-11,30666.69,24131.33,6535.36,35475.87,False,0.0,no_loan,12,13039.72,True,FI017,4,6502.52,0.0
GJSU536890,2025-12,32795.25,24197.78,8597.47,36831.1,False,0.0,no_loan,12,11694.5,True,FI017,3,3085.88,0.0
GJSU536890,2026-01,33085.73,25251.1,7834.63,20705.87,False,0.0,no_loan,15,11141.12,True,FI017,4,4651.47,0.0
GJSU536890,2026-02,32071.43,22421.95,1926.51,21027.46,True,7722.96,on_time,13,10809.71,True,FI017,6,12206.63,7722.96
GJSU536890,2026-03,28527.41,21730.47,-926.02,20922.02,True,7722.96,on_time,10,10043.41,True,FI017,5,11455.92,7722.96
GJSU536890,2026-04,24112.91,17649.1,-1259.15,20736.37,True,7722.96,late,9,10660.68,True,FI017,5,10424.6,6194.85
GJSU536890,2026-05,17868.2,12514.42,-2369.18,33773.32,True,7722.96,late,8,7872.93,True,FI017,4,8360.18,6347.14
GJSU536890,2026-06,17481.74,13143.86,-3385.08,33261.96,True,7722.96,late,8,7440.55,True,FI017,4,8115.58,5091.67
GJSU536890,2026-07,15880.31,11190.22,-3032.88,32785.22,True,7722.96,late,6,6019.31,True,FI017,3,5021.63,3514.76
GJJA644024,2024-08,31096.47,22013.05,9083.42,21063.03,False,0.0,no_loan,1,578.31,False,FI005,0,0.0,0.0
GJJA644024,2024-09,34301.42,27055.73,7245.68,22457.87,False,0.0,no_loan,1,759.3,True,FI005,0,0.0,0.0
GJJA644024,2024-10,43386.65,32453.96,10932.7,19086.78,False,0.0,no_loan,1,888.04,True,FI005,0,0.0,0.0
GJJA644024,2024-11,46989.27,33517.16,13472.11,22418.17,False,0.0,no_loan,1,811.81,True,FI005,0,0.0,0.0
GJJA644024,2024-12,49397.56,36936.69,12460.88,36509.89,False,0.0,no_loan,1,1005.24,True,FI005,0,0.0,0.0
GJJA644024,2025-01,53093.98,39408.76,13685.22,38378.07,False,0.0,no_loan,0,0.0,True,FI005,0,0.0,0.0
GJJA644024,2025-02,53493.65,38181.51,15312.14,22410.61,False,0.0,no_loan,4,4349.33,True,FI005,1,1782.09,0.0
GJJA644024,2025-03,45082.51,32247.45,12835.06,24579.99,False,0.0,no_loan,8,7837.61,True,FI005,2,2140.8,0.0
GJJA644024,2025-04,31766.18,22238.98,9527.2,26606.09,False,0.0,no_loan,9,7509.47,True,FI005,2,2327.36,0.0
GJJA644024,2025-05,29980.38,21273.34,8707.05,27972.97,False,0.0,no_loan,11,10310.39,True,FI005,5,3634.15,0.0
GJJA644024,2025-06,27486.95,19408.41,8078.54,30063.07,False,0.0,no_loan,11,8792.61,True,FI005,4,2671.69,0.0
GJJA644024,2025-07,24677.23,17589.75,7087.48,30945.92,False,0.0,no_loan,9,9262.24,True,FI005,4,2631.2,0.0
